tau,diff_Eeta_variance
0.0293513354857646,0.0
0.0587026709715292,0.0
0.08805400645729382,0.0
0.1174053419430584,0.0
0.146756677428823,0.0
0.17610801291458764,0.0
0.20545934840035224,0.0
0.2348106838861168,0.0
0.26416201937188144,0.0
0.293513354857646,0.0
0.3228646903434106,0.0
0.35221602582917527,0.0
0.38156736131493985,0.0
0.4109186968007045,0.0
0.44027003228646905,0.0
0.4696213677722336,0.0
0.4989727032579983,0.0
0.5283240387437629,0.0
0.5576753742295274,0.0
0.587026709715292,0.0
0.6163780452010568,0.0
0.6457293806868212,0.0
0.6750807161725859,0.0
0.7044320516583505,0.0
0.7337833871441152,0.0
0.7631347226298797,0.0
0.7924860581156443,0.0
0.821837393601409,0.0
0.8511887290871735,0.0
0.8805400645729381,0.0
0.9098914000587026,0.0
0.9392427355444672,0.0
0.968594071030232,0.0
0.9979454065159966,0.0
1.0272967420017611,0.0
1.0566480774875258,0.0
1.0859994129732904,0.0
1.1153507484590548,0.0
1.1447020839448196,0.0
1.174053419430584,0.0
1.2034047549163487,0.0
1.2327560904021135,0.0
1.262107425887878,0.0
1.2914587613736423,0.0
1.3208100968594072,0.0
1.3501614323451718,0.0
1.3795127678309362,0.0
1.408864103316701,0.0
1.4382154388024657,0.0
1.4675667742882303,0.0
1.4969181097739948,0.0
1.5262694452597594,0.0
1.5556207807455238,0.0
1.5849721162312886,0.0
1.6143234517170533,0.0
1.643674787202818,0.0
1.6730261226885823,0.0
1.702377458174347,0.0
1.7317287936601118,0.0
1.7610801291458762,0.0
1.7904314646316408,0.0
1.8197828001174052,0.0
1.8491341356031699,0.0
1.8784854710889345,0.0
1.9078368065746996,0.0
1.937188142060464,0.0
1.9665394775462286,0.0
1.9958908130319932,0.0
2.0252421485177576,0.0
2.0545934840035223,0.0
2.083944819489287,0.0
2.1132961549750515,0.0
2.142647490460816,0.0
2.171998825946581,0.0
2.2013501614323454,0.0
2.2307014969181096,0.0
2.2600528324038747,0.0
2.2894041678896393,0.0
2.3187555033754035,0.0
2.348106838861168,0.0
2.3774581743469327,0.0
2.4068095098326974,0.0
2.436160845318462,0.0
2.465512180804227,0.0
2.4948635162899917,0.0
2.524214851775756,0.0
2.5535661872615205,0.0
2.5829175227472847,0.0
2.6122688582330493,0.0
2.6416201937188144,0.0
2.670971529204579,0.0
2.7003228646903437,0.0
2.7296742001761083,0.0
2.7590255356618725,0.0
2.788376871147637,0.0
2.817728206633402,0.0
2.847079542119167,0.0
2.8764308776049314,0.0
2.905782213090696,0.0
2.9351335485764607,0.0
2.964484884062225,0.0
2.9938362195479895,0.0
3.023187555033754,0.0
3.0525388905195188,0.0
3.0818902260052834,0.0
3.1112415614910476,0.0
3.1405928969768127,0.0
3.1699442324625773,0.0
3.199295567948342,0.0
3.2286469034341065,0.0
3.257998238919871,0.0
3.287349574405636,0.0
3.3167009098914,0.0
3.3460522453771646,0.0
3.3754035808629292,0.0
3.404754916348694,0.0
3.434106251834459,0.0
3.4634575873202236,0.0
3.4928089228059878,0.0
3.5221602582917524,0.0
3.551511593777517,0.0
3.5808629292632816,0.0
3.6102142647490463,0.0
3.6395656002348105,0.0
3.668916935720575,0.0
3.6982682712063397,0.0
3.7276196066921043,0.0
3.756970942177869,0.0
3.786322277663633,0.0
3.815673613149399,0.0
3.8450249486351638,0.0
3.874376284120928,0.0
3.9037276196066926,0.0
3.933078955092457,0.0
3.962430290578222,0.0
3.9917816260639865,0.0
4.021132961549751,0.0
4.050484297035515,0.0
4.07983563252128,0.0
4.1091869680070445,0.0
4.138538303492809,0.0
4.167889638978574,0.0
4.197240974464338,0.0
4.226592309950103,0.0
4.255943645435868,0.0
4.285294980921632,0.0
4.314646316407397,0.0
4.343997651893162,0.0
4.373348987378926,0.0
4.402700322864691,0.0
4.4320516583504554,0.0
4.461402993836219,0.0
4.490754329321984,0.0
4.520105664807749,0.0
4.549457000293514,0.0
4.578808335779279,0.0
4.608159671265043,0.0
4.637511006750807,0.0
4.666862342236572,0.0
4.696213677722336,0.0
4.725565013208101,0.0
4.7549163486938655,0.0
4.78426768417963,0.0
4.813619019665395,0.0
4.842970355151159,0.0
4.872321690636924,0.0
4.9016730261226895,0.0
4.931024361608454,0.0
4.960375697094219,0.0
4.989727032579983,0.0
5.019078368065747,0.0
5.048429703551512,0.0
5.077781039037276,0.0
