tau,diff_Eetaalpha2,diff_Eetaalpha2_variance,diff_Eetaalpha2_std,diff_Eetaalpha2_error,N_events
0.2409638554216868,3.5927776476348,0.01624658263689628,0.1274620831341473,0.09012930332831902,2
0.4819277108433736,3.4486537024744903,0.015270626623862936,0.12357437689044981,0.08738027988013924,2
0.7228915662650603,3.2551378769697985,0.013992309391992993,0.1182890924472455,0.08364301940984971,2
0.9638554216867472,3.022507836876282,0.012505527872240694,0.11182811753866151,0.07907442023891384,2
1.2048192771084338,2.7614121239549942,0.010903782427378581,0.1044211780597144,0.07383692310551199,2
1.4457831325301207,2.482825870163186,0.009275904935604044,0.09631149949826368,0.06810251440146702,2
1.6867469879518073,2.197646940115576,0.007700382254492707,0.08775182194400699,0.06204990835808183,2
1.9277108433734944,1.9161916753942054,0.006240529168677693,0.078997019998717,0.055859328534622096,2
2.168674698795181,1.647697127883824,0.004941453181448663,0.07029547056140006,0.049706403920665304,2
2.4096385542168677,1.399892368547476,0.003829154506722543,0.06188016246522421,0.0437558825000853,2
2.650602409638554,1.1786811056691557,0.002911696439592554,0.053960137505315475,0.038155579143767125,2
2.8915662650602414,0.9879623607229092,0.0021820771912572437,0.04671270909781666,0.03303087337066069,2
3.1325301204819285,0.8296006423587909,0.0016222281971051183,0.04027689408463764,0.028480064932379614,2
3.3734939759036147,0.7035415036219113,0.0012074615675247715,0.034748547703821686,0.02457093371775655,2
3.6144578313253013,0.6080537258905447,0.0009106953416247917,0.030177729232412298,0.02133887698105024,2
3.855421686746989,0.5400673582350602,0.0007058984869003455,0.026568750194548962,0.018786943430216974,2
4.096385542168675,0.4955690731685031,0.0005704026675529826,0.023883104227737706,0.016887904955218434,2
4.337349397590362,0.4700138066833117,0.0004859850952157497,0.02204506963508507,0.0155882182306983,2
4.578313253012048,0.45871453748221774,0.0004388746788295406,0.02094933599972898,0.01481341754676382,2
4.819277108433735,0.4571794339300678,0.00041900894512604336,0.020469707988294394,0.014474269327431408,2
5.0602409638554215,0.46137577920348893,0.00041893519626737047,0.02046790649449451,0.014472995478949242,2
5.301204819277108,0.46791105979096637,0.0004327113832651877,0.020801715873100174,0.014709034354184976,2
5.542168674698796,0.4741315424481323,0.0004550579350202091,0.021332086982295217,0.015084063362042223,2
5.783132530120483,0.4781463413444614,0.0004808865821689357,0.021929126343038285,0.015506233942658928,2
6.024096385542169,0.47878991880360955,0.0005052184929255667,0.022477065932313467,0.015893685741915978,2
6.265060240963857,0.4755383472442174,0.0005234168730554077,0.022878305729564147,0.01617740512343385,2
6.506024096385541,0.4683950434483545,0.0005316033449564934,0.023056524997416533,0.016303425176270373,2
6.746987951807229,0.457760718441933,0.0005271047792109862,0.022958762580134545,0.01623429670806509,2
6.987951807228916,0.44430051149788585,0.0005087881891233782,0.022556333680883917,0.015949736504459536,2
7.228915662650603,0.42881905819351296,0.0004771818769045722,0.021844493056708186,0.015446389171980811,2
7.469879518072291,0.41215178272979425,0.0004343409549402143,0.020840848229863734,0.0147367051090163,2
7.710843373493978,0.39507811694386463,0.0003834796541032557,0.019582636546268628,0.013847015095378059,2
7.951807228915663,0.37825973102608146,0.0003284460478790211,0.0181230805295077,0.012814953138404781,2
8.19277108433735,0.3622043422869181,0.00027314543791991114,0.016527112207518624,0.011686433115367389,2
8.433734939759036,0.3472534086886967,0.00022102169110117234,0.014866798280099597,0.010512413878390926,2
8.674698795180724,0.33359017460760865,0.00017468360827162908,0.013216792662050392,0.009345683716872433,2
8.91566265060241,0.32126324082784163,0.0001357244681342862,0.011650084468976446,0.008237853729409323,2
9.156626506024097,0.3102201388386026,0.0001047390032489351,0.010234207504684234,0.007236677526632477,2
9.397590361445785,0.30034529264624166,8.150411225438531e-05,0.009027962796466615,0.00638373371368141,2
9.63855421686747,0.2914971840360062,6.526412877570676e-05,0.008078621712625661,0.005712448195638485,2
9.879518072289157,0.28354039478424986,5.50498490340349e-05,0.00741955854711282,0.005246420162074083,2
10.120481927710843,0.27636935550258135,4.996109431928034e-05,0.0070683162294340185,0.004998054337403723,2
10.361445783132531,0.26992195336833225,4.935361216649014e-05,0.007025212606497411,0.00496757547333154,2
10.602409638554215,0.2641825134513838,5.2892174425234335e-05,0.007272700628049689,0.0051425759316335974,2
10.843373493975903,0.2591749568197217,6.0462346805227566e-05,0.00777575377730208,0.005498288224767212,2
11.084337349397591,0.25494805349085425,7.19701806360332e-05,0.008483524069396703,0.005998757397829704,2
