tau,diff_Eeta,diff_Eeta_variance,diff_Eeta_std,diff_Eeta_error,N_events
0.1180637544273908,0.0,0.0,0.0,0.0,1
0.2361275088547816,0.0,0.0,0.0,0.0,1
0.35419126328217243,0.0,0.0,0.0,0.0,1
0.4722550177095632,0.0,0.0,0.0,0.0,1
0.590318772136954,0.0,0.0,0.0,0.0,1
0.7083825265643449,0.0,0.0,0.0,0.0,1
0.8264462809917357,0.0,0.0,0.0,0.0,1
0.9445100354191264,0.0,0.0,0.0,0.0,1
1.0625737898465173,0.0,0.0,0.0,0.0,1
1.180637544273908,0.0,0.0,0.0,0.0,1
1.2987012987012987,0.0,0.0,0.0,0.0,1
1.4167650531286897,0.0,0.0,0.0,0.0,1
1.5348288075560803,0.0,0.0,0.0,0.0,1
1.6528925619834713,0.0,0.0,0.0,0.0,1
1.7709563164108622,0.0,0.0,0.0,0.0,1
1.8890200708382527,0.0,0.0,0.0,0.0,1
2.0070838252656436,0.0,0.0,0.0,0.0,1
2.1251475796930346,0.0,0.0,0.0,0.0,1
2.243211334120425,0.0,0.0,0.0,0.0,1
2.361275088547816,0.0,0.0,0.0,0.0,1
2.479338842975207,0.0,0.0,0.0,0.0,1
2.5974025974025974,0.0,0.0,0.0,0.0,1
2.7154663518299884,0.0,0.0,0.0,0.0,1
2.8335301062573794,0.0,0.0,0.0,0.0,1
2.95159386068477,0.0,0.0,0.0,0.0,1
3.0696576151121606,0.0,0.0,0.0,0.0,1
3.1877213695395517,0.0,0.0,0.0,0.0,1
3.3057851239669427,0.0,0.0,0.0,0.0,1
3.4238488783943337,0.0,0.0,0.0,0.0,1
3.5419126328217243,0.0,0.0,0.0,0.0,1
3.659976387249114,0.0,0.0,0.0,0.0,1
3.7780401416765055,0.0,0.0,0.0,0.0,1
3.8961038961038965,0.0,0.0,0.0,0.0,1
4.014167650531287,0.0,0.0,0.0,0.0,1
4.132231404958678,0.0,0.0,0.0,0.0,1
4.250295159386069,0.0,0.0,0.0,0.0,1
4.36835891381346,0.0,0.0,0.0,0.0,1
4.48642266824085,0.0,0.0,0.0,0.0,1
4.604486422668241,0.0,0.0,0.0,0.0,1
4.722550177095632,0.0,0.0,0.0,0.0,1
4.8406139315230226,0.0,0.0,0.0,0.0,1
4.958677685950414,0.0,0.0,0.0,0.0,1
5.076741440377805,0.0,0.0,0.0,0.0,1
5.194805194805195,0.0,0.0,0.0,0.0,1
5.312868949232585,0.0,0.0,0.0,0.0,1
5.430932703659977,0.0,0.0,0.0,0.0,1
5.548996458087367,0.0,0.0,0.0,0.0,1
5.667060212514759,0.0,0.0,0.0,0.0,1
5.785123966942149,0.0,0.0,0.0,0.0,1
5.90318772136954,0.0,0.0,0.0,0.0,1
6.02125147579693,0.0,0.0,0.0,0.0,1
6.139315230224321,0.0,0.0,0.0,0.0,1
6.257378984651713,0.0,0.0,0.0,0.0,1
6.375442739079103,0.0,0.0,0.0,0.0,1
6.493506493506493,0.0,0.0,0.0,0.0,1
6.611570247933885,0.0,0.0,0.0,0.0,1
6.729634002361275,0.0,0.0,0.0,0.0,1
6.847697756788667,0.0,0.0,0.0,0.0,1
6.965761511216058,0.0,0.0,0.0,0.0,1
7.083825265643449,0.0,0.0,0.0,0.0,1
7.20188902007084,0.0,0.0,0.0,0.0,1
7.319952774498228,0.0,0.0,0.0,0.0,1
7.438016528925621,0.0,0.0,0.0,0.0,1
7.556080283353011,0.0,0.0,0.0,0.0,1
7.674144037780403,0.0,0.0,0.0,0.0,1
7.792207792207793,0.0,0.0,0.0,0.0,1
7.910271546635184,0.0,0.0,0.0,0.0,1
8.028335301062574,0.0,0.0,0.0,0.0,1
