tau,diff_Eeta
0.1180637544273908,0.0
0.2361275088547816,0.0
0.35419126328217243,0.0
0.4722550177095632,0.0
0.590318772136954,0.0
0.7083825265643449,0.0
0.8264462809917357,0.0
0.9445100354191264,0.0
1.0625737898465173,0.0
1.180637544273908,0.0
1.2987012987012987,0.0
1.4167650531286897,0.0
1.5348288075560803,0.0
1.6528925619834713,0.0
1.7709563164108622,0.0
1.8890200708382527,0.0
2.0070838252656436,0.0
2.1251475796930346,0.0
2.243211334120425,0.0
2.361275088547816,0.0
2.479338842975207,0.0
2.5974025974025974,0.0
2.7154663518299884,0.0
2.8335301062573794,0.0
2.95159386068477,0.0
3.0696576151121606,0.0
3.1877213695395517,0.0
3.3057851239669427,0.0
3.4238488783943337,0.0
3.5419126328217243,0.0
3.659976387249114,0.0
3.7780401416765055,0.0
3.8961038961038965,0.0
4.014167650531287,0.0
4.132231404958678,0.0
4.250295159386069,0.0
4.36835891381346,0.0
4.48642266824085,0.0
4.604486422668241,0.0
4.722550177095632,0.0
4.8406139315230226,0.0
4.958677685950414,0.0
5.076741440377805,0.0
5.194805194805195,0.0
5.312868949232585,0.0
5.430932703659977,0.0
5.548996458087367,0.0
5.667060212514759,0.0
5.785123966942149,0.0
5.90318772136954,0.0
6.02125147579693,0.0
6.139315230224321,0.0
6.257378984651713,0.0
6.375442739079103,0.0
6.493506493506493,0.0
6.611570247933885,0.0
6.729634002361275,0.0
6.847697756788667,0.0
6.965761511216058,0.0
7.083825265643449,0.0
7.20188902007084,0.0
7.319952774498228,0.0
7.438016528925621,0.0
7.556080283353011,0.0
7.674144037780403,0.0
7.792207792207793,0.0
7.910271546635184,0.0
8.028335301062574,0.0
8.146399055489965,0.0
8.264462809917356,0.0
8.382526564344747,0.0
8.500590318772138,0.0
8.61865407319953,0.0
8.73671782762692,0.0
8.85478158205431,0.0
8.9728453364817,0.0
9.090909090909092,0.0
9.208972845336483,0.0
9.327036599763874,0.0
9.445100354191265,0.0
9.563164108618656,0.0
9.681227863046045,0.0
9.799291617473436,0.0
9.917355371900827,0.0
10.035419126328218,0.0
10.15348288075561,0.0
10.271546635182998,0.0
10.38961038961039,0.0
10.50767414403778,0.0
